,Stream,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994
0,Necanicum River,53,30,67,36,121,19,102,68,61,30,110,71,26,223,7,12,0
1,Nehalem River & Bay Below Elsie (a),56,54,151,91,376,107,"1,017",498,"2,272",369,790,788,597,"7,438",857,"1,727",0
2,Nehalem River & Bay Above Elsie (a),,,,,,,,--,--,--,--,--,--,--,44,35,0
3,N. Fk. Nehalem River,167,221,529,65,95,44,29,541,565,199,"1,183",695,"1,309",807,373,578,569
4,Neskowin Creek,15,0,18,8,X,X,X,X,X,X,X,X,X,X,X,X,X
5,Nestucca River & Bay,402,108,220,225,148,104,555,275,307,121,125,537,127,403,680,51,0
6,Little Nestucca River,103,6,39,53,46,9,64,78,78,20,47,56,15,33,0,0,0
7,Rock Creek (Lane Co),3,3,3,0,0,0,0,0,7,5,0,0,9,6,0,0,0
8,Rock Creek (Nehalem R),0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0
9,Rock Creek (Siletz R),32,3,96,57,86,41,340,105,210,19,90,49,22,67,10,0,0
10,Little Rock Creek (Siletz R),6,0,52,20,0,0,137,28,91,15,4,45,0,27,0,0,0
11,"Rogue River, Lower",5,3,52,328,62,186,322,181,228,345,160,217,181,810,236,95,998
12,"Rogue River, Upper",--,--,--,--,--,--,77,31,25,15,8,0,6,0,10,0,122
13,Salmon River,173,48,199,265,233,107,714,275,655,208,124,276,194,363,150,261,0
14,Salmonberry River,9,0,0,4,0,3,3,0,4,0,0,0,0,3,3,0,0
15,Sand Lake (Tillamook Co),0,0,0,0,7,0,9,0,15,0,4,0,6,15,0,0,0
16,Schooner Cr. (Siletz R),13,3,0,38,10,6,18,4,14,10,4,4,9,34,0,0,0
17,Siletz River & Bay,179,135,221,337,294,427,768,378,525,147,113,270,79,284,447,238,0
18,N Fk. Siletz River,9,0,9,8,10,0,22,0,12,5,4,8,3,6,6,8,0
19,S. Fk. Siletz River,13,0,9,20,0,0,29,8,11,0,4,4,0,6,12,4,0
20,Siltcoos River & Lake,153,3,286,485,360,272,"1,091",236,398,121,358,184,202,248,85,0,0
21,Siuslaw River & Bay,331,15,409,308,633,361,"1,093",781,"1,433",616,922,978,663,"6,746","1,220",54,0
22,N. Fk. Siuslaw River,6,0,24,12,23,15,86,20,37,39,54,11,26,72,195,0,0
23,Sixes River,6,9,3,0,10,6,50,8,36,5,8,23,9,3,0,0,0
24,Slick Rock Cr. (Salmon R),0,3,6,37,0,0,X,X,X,X,X,X,X,X,X,X,X
25,Smith River,248,33,132,217,218,113,745,341,981,427,708,505,165,748,968,4,0
26,N. Fk. Smith River,44,0,56,70,75,63,79,43,94,20,137,41,39,18,10,0,0
27,Sutton Creek & Lake,9,0,0,0,3,13,37,0,11,10,12,0,6,36,0,0,0
28,Sweet Creek (Siuslaw R),0,3,0,0,13,0,6,4,11,0,8,11,0,27,9,0,0
29,Tahkenitch Creek & Lake,3,0,0,8,0,0,123,12,47,5,0,11,19,30,0,0,0
30,Tenmile Cr. & Lakes (Coos Co),40,0,24,194,76,133,287,67,102,15,90,373,108,144,50,8,95
31,Tenmile Creek (Lane Co),3,0,3,16,14,13,41,75,32,0,16,41,19,15,20,0,0
32,Three Rivers,19,3,31,4,10,0,36,16,33,0,8,30,0,27,0,0,0
33,Tillamook Bay,213,120,265,238,"1,583",126,"1,408",819,"5,378",607,"1,533",893,784,"16,645","1,508",142,0
34,Tillamook River,31,0,6,12,0,3,41,20,83,10,67,49,9,110,0,0,0
35,Trask River,148,150,116,85,79,40,926,631,489,29,482,724,365,920,151,218,0
36,N. Fk. Trask River,0,0,3,0,0,13,X,X,15,0,0,0,0,0,0,0,0
37,S. Fk. Trask River,0,0,9,8,0,0,X,X,11,5,8,0,0,0,0,0,0
38,Umpqua River & Bay,372,36,212,278,"3,120",753,"1,015",596,"1,205",631,"1,246","1,842","1,269","21,624","6,322","3,956",0
39,"N. Umpqua River, Lower",40,0,37,36,254,101,72,70,124,20,24,78,66,113,68,54,12
40,"N. Umpqua River, Upper",--,--,--,--,--,--,41,32,592,83,94,444,254,644,501,191,113
41,S. Umpqua River,12,0,6,58,17,9,9,16,22,15,12,56,9,12,30,8,0
42,Wilson River,99,39,68,119,85,6,184,63,91,49,39,71,64,104,0,0,0
43,Winchuck River,3,0,3,0,0,9,3,8,8,0,4,0,6,3,0,0,0
44,Yachats River,35,0,53,36,49,19,156,98,51,10,47,78,45,48,3,0,0
45,Yaquina River,242,81,226,513,776,904,935,"4,698","4,020","1,058","1,195",545,397,"4,535",673,77,0
46,Unclassified (b),33,3,3,14,113,106,65,40,88,25,40,23,12,24,39,57,0
47,Total,"4,523","1,514","6,336","9,918","14,742","6,787","17,461","15,520","30,755","7,734","13,348","15,094","9,482","75,420","19,376","12,311","2,016"
